1.107098010834306424e-04,2.309877949301153476e-04,2.373368013650179018e-04
3.731835924554616104e-04,3.586951992474496148e-04,5.203926004469395118e-04
8.375311968848109462e-04,1.319813809823244897e-03,1.094038394512608647e-03
3.316738002467900515e-03,3.457908995915204460e-03,2.383652003481984225e-03
1.320110780070535804e-02,1.016228739754296805e-02,5.496102198958396738e-03
5.259110100450925529e-02,2.330758080352097680e-02,1.046328239608556102e-02
2.123501328052952997e-01,5.992832399788312892e-02,2.297336959163658390e-02
8.324264385970309155e-01,1.436201318050734643e-01,5.154293819214217365e-02
3.454912414005957721e+00,3.152632448007352539e-01,1.024181382032111343e-01
1.368427560579730162e+01,7.104112988046835664e-01,2.183152157987933717e-01
5.501246521421126090e+01,1.590797421400202527e+00,4.828626934031490237e-01
2.233306066068122107e+02,4.057619708997663110e+00,1.159964050201233388e+00
0.000000000000000000e+00,8.865382703405339626e+00,2.593027257604989977e+00
0.000000000000000000e+00,2.038125043020700033e+01,6.340691380598582505e+00
0.000000000000000000e+00,4.566424239840125665e+01,1.626130909079802223e+01
0.000000000000000000e+00,1.041728943896014243e+02,4.695499591619009294e+01
